sentence	sentence_id	locale	reason
Planın ardından yatan mantık tam olarak nedir ve Yunanlıları uzun vadede nasıl etkileyecektir?	fa2d308141808bbb43acaed1f9acdb5c0c77e93c9a18aa9471df86ed8cb7c4e7	tr	grammar-or-spelling
Uydu yedi yüz yirmikm irtifada yörüngeye oturdu.	1ccee1a54a50fc470ada287f2a30e91785e6c6e2018fd595906f81a216620149	tr	grammar-or-spelling
Tutumların Avrupalı bir unsura rastlamadım.	1aa01776accecc4791c48014eaf05d049bcf88db30011fe18cd8b567b7ffd821	tr	grammar-or-spelling
"Uiki bin dokuz yüz doksan yedi yılında Saraybosna'da çaldı."	24875df4fc45f22f17b828b1ed640676b8aacc4f9241853cef264ca2ffd62547	tr	grammar-or-spelling
Sektördeki resmi ortamala aylık iki yüz on bir avro.	e871bdc3f684eb7b3b2fd6397b790e8c71743e50c2351a95b1c263d6e9a9db1e	tr	grammar-or-spelling
Oyun, Balkanlarda yaşanan ihtilafi konu aliyor.	3c8821f8d8a6ff49d3d267f76c40bb4175fd95cd8a4aaef61f08cceddc57361b	tr	grammar-or-spelling
Pensioners also lambasted the measures.	4218e5bfe721cc72d19566d30d41db27843d827d90f52d75752daffda59c160e	tr	different-language
Uydu yedi yüz yirmikm irtifada yörüngeye oturdu.	1ccee1a54a50fc470ada287f2a30e91785e6c6e2018fd595906f81a216620149	tr	grammar-or-spelling
"Bu toprakların özü İslam'la yoğrulmuştur."	4207b4d986417ec4e9875b02274d0ce47a805a94be85e021e19688fcd2ab6f4f	tr	difficult-pronounce
Muzar üç buçuk yıldır cemaatin bir üyesi.	187e7317008c142c63d621d7325b4c64da2bdb3f2d8951b114ec43d154f6670c	tr	different-language
Oyun, Balkanlarda yaşanan ihtilafi konu aliyor.	3c8821f8d8a6ff49d3d267f76c40bb4175fd95cd8a4aaef61f08cceddc57361b	tr	grammar-or-spelling
Allahverdi, örgütün ilk Türk üyesi oldu.	51d2cf1de486c67263db1d49cc0d78ce97c6c1c2259041f7da3c2854637d6cc0	tr	uydurma
Oyun, Balkanlarda yaşanan ihtilafi konu aliyor.	3c8821f8d8a6ff49d3d267f76c40bb4175fd95cd8a4aaef61f08cceddc57361b	tr	grammar-or-spelling
Oyun, Balkanlarda yaşanan ihtilafi konu aliyor.	3c8821f8d8a6ff49d3d267f76c40bb4175fd95cd8a4aaef61f08cceddc57361b	tr	grammar-or-spelling
Tum bu önerilerin sonucunu zaman gösterecek.	68e3f72549ca8e5963a2951ec259d20e286a6cff7e63f058c5ffcf9e5cef3400	tr	grammar-or-spelling
English görevi bu ay devralacak.	56e7344340ca1b27fc73fea40d376352259c9ac32cda526e5b23315e4d98a064	tr	different-language
"Erdoğan'ın eşi de türban takıyor."	49271349b3ef7a09f144767e4628f88602e856aa4fb6cf8164628024faf38ad5	tr	Siyasi cümeler korkutuyor, ç?kar?lmal?, bir yerde kullan?labilir. Politic sentences should be removed.
Pensioners also lambasted the measures.	4218e5bfe721cc72d19566d30d41db27843d827d90f52d75752daffda59c160e	tr	different-language
"Xhema ise Mabetex'in yönetim kurulu uyesi."	6ae3fcf2f458551567646d364f17a61aab3a484767a431842d3651028c6c131a	tr	different-language
"Xhema ise Mabetex'in yönetim kurulu uyesi."	6ae3fcf2f458551567646d364f17a61aab3a484767a431842d3651028c6c131a	tr	different-language
Uydu yedi yüz yirmikm irtifada yörüngeye oturdu.	1ccee1a54a50fc470ada287f2a30e91785e6c6e2018fd595906f81a216620149	tr	grammar-or-spelling
Foruma dört yüzde fazla kişi katıldı.	3755cb7a61df0f474e3e6cf2cef5bb2381ea0d7ea4368163aaa750037b5cf164	tr	grammar-or-spelling
Oyun, Balkanlarda yaşanan ihtilafi konu aliyor.	3c8821f8d8a6ff49d3d267f76c40bb4175fd95cd8a4aaef61f08cceddc57361b	tr	grammar-or-spelling
Uydu yedi yüz yirmikm irtifada yörüngeye oturdu.	1ccee1a54a50fc470ada287f2a30e91785e6c6e2018fd595906f81a216620149	tr	grammar-or-spelling
Batiç ise herhangi bir dosya gördugunu reddetti.	629a6b334d82e5ea545b25764ae5278bac4c601ca53ce40b963297728ee34797	tr	grammar-or-spelling
Uydu yedi yüz yirmikm irtifada yörüngeye oturdu.	1ccee1a54a50fc470ada287f2a30e91785e6c6e2018fd595906f81a216620149	tr	grammar-or-spelling
"Taliban'ın İstanbul adresi mi var?"	7fcd8f93dc13d699a1ffd6d00e1d4354d222be8bb7319f90a8a5fecd772ee898	tr	Siyasi
Şu ânda durum nedir?	8215593135ac153e152917b3e0a58e9936f71c3f1b9173cdf5ee359ad1501885	tr	grammar-or-spelling
Batiç ise herhangi bir dosya gördugunu reddetti.	629a6b334d82e5ea545b25764ae5278bac4c601ca53ce40b963297728ee34797	tr	grammar-or-spelling
Batiç ise herhangi bir dosya gördugunu reddetti.	629a6b334d82e5ea545b25764ae5278bac4c601ca53ce40b963297728ee34797	tr	grammar-or-spelling
Ancak, bunun kolay olmayacagi belirtiliyor.	89e77fbfff5eaf9d29589aad177fdf18e3a814dac1e4b5a1f4edbc9e11f0bca6	tr	grammar-or-spelling
Batiç ise herhangi bir dosya gördugunu reddetti.	629a6b334d82e5ea545b25764ae5278bac4c601ca53ce40b963297728ee34797	tr	grammar-or-spelling
Oyun, Balkanlarda yaşanan ihtilafi konu aliyor.	3c8821f8d8a6ff49d3d267f76c40bb4175fd95cd8a4aaef61f08cceddc57361b	tr	grammar-or-spelling
Refah dönemi hemen yarım başlamayacak.	897fb859e9a657a0ff8bdc8d8508013621b47e946008fb56f90862592b99f639	tr	grammar-or-spelling
Buun nedenlerinden birisi trafik sorunuydu.	6693b45c8e9d77792861a8500cf7257cc4ac287e8c6737df6b712a3bf25e7415	tr	grammar-or-spelling
Kosova başkentinswki yolcu sayısı arttı.	99525c50e4094e7eb25be8901ad05a1d7c43b17fd2864d461da5258921e30f1d	tr	grammar-or-spelling
Kosova başkentinswki yolcu sayısı arttı.	99525c50e4094e7eb25be8901ad05a1d7c43b17fd2864d461da5258921e30f1d	tr	grammar-or-spelling
"Port Elizabeth'e gittik."	f0c2393879f733ae0e6e2ac31e02ffee086b61c645e6134efe0cb32c3b492e0f	tr	different-language
Cortiç buna katılıyor.	b7dbd3b221fd1612c3889ee5bdb659bbaaad2b387c5dfae60c25b790b9eabde5	tr	offensive-language
Cortiç buna katılıyor.	b7dbd3b221fd1612c3889ee5bdb659bbaaad2b387c5dfae60c25b790b9eabde5	tr	grammar-or-spelling
Bdoksan iki bu açıdan hangi noktada duruyor?	bde974c8c96216656774ec6848c2f032e4020d1ecd922212c531f9c52dad4816	tr	grammar-or-spelling
Seydiu şimdi iki mevkiyi de kaybetti.	f3af7c33e89e55719e3b6a53137d5f73356668cf80fbf17e8d4d3af3e9adf2a3	tr	grammar-or-spelling
Seydiu şimdi iki mevkiyi de kaybetti.	f3af7c33e89e55719e3b6a53137d5f73356668cf80fbf17e8d4d3af3e9adf2a3	tr	difficult-pronounce
